test 1	length	success
test 2	character	success
test 3	compare	success
test 4	append	success
test 5	prepend	success
test 6	getString	success
test 7	lowercase	success
test 8	uppercase	success
test 9	subStringCheck	success
test 10	subStringCheckIndex	success
test 11	stringReplace	success
test 12	SetString	failed
test 1	length	success
test 2	character	success
test 3	compare	success
test 4	append	success
test 5	prepend	success
test 6	getString	success
test 7	lowercase	success
test 8	uppercase	success
test 9	subStringCheck	success
test 10	subStringCheckIndex	success
test 11	stringReplace	success
test 12	SetString	success
test 1	length	success

100%test 2	character	success

100%test 3	compare	success

100%test 4	append	success

100%test 5	prepend	success

100%test 6	getString	success

100%test 7	lowercase	success

100%test 8	uppercase	success

100%test 9	subStringCheck	success

100%test 10	subStringCheckIndex	success

100%test 11	stringReplace	success

100%test 12	SetString	success

100%test 1	length	success
100%test 2	character	success
100%test 3	compare	success
100%test 4	append	success
100%test 5	prepend	success
100%test 6	getString	success
100%test 7	lowercase	success
100%test 8	uppercase	success
100%test 9	subStringCheck	success
100%test 10	subStringCheckIndex	success
100%test 11	stringReplace	success
100%test 12	SetString	success
100%test 1	length	success100%test 2	character	success100%test 3	compare	success100%test 4	append	success100%test 5	prepend	success100%test 6	getString	success100%test 7	lowercase	success100%test 8	uppercase	success100%test 9	subStringCheck	success100%test 10	subStringCheckIndex	success100%test 11	stringReplace	success100%test 12	SetString	success100%test 1	length	success100% 
test 2	character	success100% 
test 3	compare	success100% 
test 4	append	success100% 
test 5	prepend	success100% 
test 6	getString	success100% 
test 7	lowercase	success100% 
test 8	uppercase	success100% 
test 9	subStringCheck	success100% 
test 10	subStringCheckIndex	success100% 
test 11	stringReplace	success100% 
test 12	SetString	success100% 
